Farmaco;Masa Molar Fármaco;Parametro de Solubilidad del Farmaco;Temperatura de Fusión (K);Entalpia de Fusión (kJ/mol);Volumen Molar del Fármaco;Solvente 1;Masa Molar Solv 1;Solvente 2;Masa Molar Solv 2;PS Solvente 1;PS Solvente 2;Volumen Molar Solventes 1;Volumen Molar Solventes 2;x_1;x_2;w_1;w_2;Temperatura de Estudio;x_3
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0;1;0,00;1,00;293,15;0,00620000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0;1;0,00;1,00;298,15;0,01210000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0;1;0,00;1,00;303,15;0,01740000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0;1;0,00;1,00;308,15;0,02220000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0;1;0,00;1,00;313,15;0,02330000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0;1;0,00;1,00;318,15;0,02720000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,1;0,9;0,22;0,78;293,15;0,00850000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,1;0,9;0,22;0,78;298,15;0,01460000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,1;0,9;0,22;0,78;303,15;0,02020000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,1;0,9;0,22;0,78;308,15;0,02660000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,1;0,9;0,22;0,78;313,15;0,02690000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,1;0,9;0,22;0,78;318,15;0,03400000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,2;0,8;0,39;0,61;293,15;0,01200000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,2;0,8;0,39;0,61;298,15;0,01860000
